User_ID,Gender,Age,Occupation
1000458,m,51-55,16
1000459,f,18-25,4
1000460,m,46-50,18
1000461,m,51-55,7
1000462,m,18-25,16
1000463,m,26-35,7
1000464,f,18-25,4
1000465,m,18-25,19
1000466,m,26-35,5
1000467,f,36-45,3
1000468,f,0-17,10
1000469,m,36-45,6
1000470,f,0-17,10
1000471,m,36-45,7
1000473,f,18-25,4
1000474,m,26-35,17
1000476,m,36-45,0
1000477,m,36-45,14
1000478,m,51-55,16
1000479,m,26-35,12
1000480,f,18-25,4
1000481,m,46-50,7
1000482,m,26-35,14
1000483,m,18-25,12
1000484,f,0-17,10
1000486,m,55+,0
1000487,f,36-45,17
1000490,m,0-17,10
1000492,m,26-35,12
1000493,m,51-55,7
1000496,m,18-25,4
1000498,m,36-45,17
1000499,f,26-35,1
1000500,f,18-25,2
1000501,m,26-35,2
1000502,m,36-45,6
1000503,m,36-45,11
1000504,m,26-35,2
1000505,m,36-45,17
1000506,m,26-35,16
1000507,f,26-35,0
1000508,m,26-35,12
1000509,m,26-35,2
1000510,m,18-25,12
1000511,f,46-50,4
1000513,m,26-35,0
1000514,m,26-35,2
1000515,m,26-35,1
1000516,f,55+,14
1000517,f,26-35,14
1000518,f,36-45,12
1000519,f,36-45,14
1000520,f,36-45,20
1000522,m,26-35,12
1000523,m,51-55,7
1000524,m,18-25,0
1000525,m,36-45,6
1000526,m,46-50,17
1000529,m,36-45,12
1000530,m,26-35,2
1000531,f,18-25,14
1000532,m,26-35,7
1000533,m,26-35,12
1000534,m,26-35,15
1000535,m,36-45,6
1000536,m,26-35,20
1000539,m,26-35,2
1000540,m,18-25,1
1000541,f,18-25,4
1000543,m,26-35,5
1000544,m,36-45,12
1000545,m,36-45,17
1000546,f,26-35,0
1000547,m,36-45,12
1000548,f,36-45,16
1000549,m,26-35,6
1000550,m,46-50,8
1000551,m,36-45,20
1000552,m,51-55,18
1000553,m,26-35,2
1000554,m,26-35,12
1000555,m,18-25,4
1000556,f,26-35,9
1000557,m,55+,1
1000560,m,46-50,15
1000563,m,26-35,4
1000564,m,46-50,1
1000565,m,26-35,16
1000566,m,26-35,17
1000567,m,36-45,20
1000568,f,51-55,17
1000569,f,18-25,4
1000570,m,26-35,4
1000571,m,51-55,5
1000573,f,36-45,2
1000574,m,26-35,19
1000575,m,26-35,12
1000576,f,46-50,15
1000577,m,36-45,0
1000579,m,26-35,5
1000580,m,0-17,10
1000581,m,51-55,14
1000582,m,18-25,4
1000583,f,26-35,0
1000584,f,26-35,0
1000585,m,18-25,1
1000586,m,36-45,14
1000587,m,26-35,20
1000588,f,26-35,11
1000589,m,18-25,2
1000590,f,36-45,6
1000591,m,26-35,0
1000592,m,18-25,0
1000593,f,51-55,1
1000594,f,55+,13
1000595,m,26-35,7
1000596,f,26-35,1
1000597,m,36-45,12
1000598,m,36-45,7
1000599,m,51-55,6
1000600,m,36-45,17
1000601,f,18-25,20
1000602,f,55+,6
1000603,f,26-35,6
1000604,m,46-50,17
1000605,f,18-25,4
1000606,f,0-17,10
1000608,m,18-25,4
1000609,m,26-35,7
1000610,m,26-35,4
1000611,m,36-45,0
1000612,m,51-55,7
1000613,m,36-45,20
1000615,m,51-55,17
1000616,m,26-35,7
1000617,f,26-35,7
1000618,m,26-35,0
1000619,f,18-25,1
1000620,m,18-25,0
1000622,m,26-35,0
1000623,m,26-35,17
1000624,m,26-35,1
1000625,f,36-45,12
1000626,m,18-25,4
1000627,m,51-55,2
1000628,f,36-45,0
1000629,f,0-17,10
1000630,f,36-45,14
1000631,m,36-45,17
1000632,m,46-50,17
1000633,m,26-35,17
1000634,f,0-17,10
1000635,m,55+,17
1000636,m,18-25,20
1000637,m,36-45,12
1000638,m,26-35,6
1000639,m,46-50,17
1000641,f,36-45,0
1000643,m,26-35,2
1000644,m,26-35,20
1000645,m,36-45,20
1000646,m,36-45,7
1000647,m,36-45,12
1000648,f,26-35,12
1000649,m,26-35,4
1000650,m,26-35,17
1000651,m,36-45,7
1000652,m,18-25,20
1000654,m,51-55,7
1000655,f,26-35,2
1000656,f,46-50,16
1000657,f,51-55,13
1000658,f,26-35,0
1000659,f,26-35,0
1000661,m,46-50,1
1000662,m,18-25,4
1000663,f,26-35,7
1000664,m,36-45,18
1000666,f,18-25,0
1000667,m,26-35,18
1000668,f,26-35,3
1000669,m,26-35,17
1000670,m,26-35,12
1000671,m,18-25,4
1000673,m,26-35,20
1000674,m,26-35,17
1000675,m,26-35,20
1000676,m,18-25,16
1000677,m,51-55,2
1000678,m,26-35,0
1000679,m,36-45,16
1000680,m,26-35,12
1000681,m,36-45,7
1000682,m,26-35,4
1000683,m,26-35,4
1000685,m,26-35,4
1000686,m,18-25,4
1000687,f,26-35,7
1000688,m,55+,13
1000689,f,51-55,0
1000690,m,26-35,12
1000691,m,36-45,11
1000692,f,26-35,0
1000694,m,18-25,4
1000695,f,18-25,1
1000698,m,18-25,4
1000700,m,51-55,17
1000701,f,18-25,4
1000702,m,36-45,7
1000704,f,36-45,8
1000705,m,26-35,4
1000706,m,36-45,20
1000707,m,36-45,7
1000708,m,26-35,0
1000709,m,18-25,0
1000710,m,26-35,20
1000711,m,26-35,18
1000712,m,26-35,0
1000713,m,36-45,7
1000714,m,18-25,4
1000715,m,18-25,0
1000717,m,26-35,11
1000718,m,18-25,2
1000719,m,0-17,0
1000720,m,18-25,0
1000721,f,36-45,9
1000722,m,26-35,12
1000723,m,26-35,12
1000724,m,51-55,13
1000725,m,55+,11
1000726,f,26-35,9
1000727,m,36-45,11
1000728,m,26-35,6
1000729,m,36-45,12
1000730,m,26-35,0
1000731,m,46-50,3
1000732,m,26-35,7
1000733,m,36-45,16
1000734,m,26-35,7
1000735,m,26-35,14
1000736,m,18-25,12
1000737,m,0-17,19
1000738,m,18-25,17
1000739,m,36-45,12
1000740,m,26-35,14
1000741,m,26-35,5
1000742,m,18-25,0
1000743,f,0-17,2
1000744,m,26-35,17
1000746,f,18-25,19
1000748,m,26-35,0
1000749,m,36-45,18
1000750,f,36-45,9
1000751,f,26-35,17
1000752,f,26-35,3
1000753,m,0-17,10
1000754,m,36-45,7
1000755,f,36-45,0
1000756,m,36-45,0
1000757,m,26-35,12
1000758,m,36-45,7
1000759,f,55+,3
1000760,m,55+,15
1000761,m,18-25,7
1000762,m,0-17,10
1000764,m,18-25,20
1000765,m,26-35,17
1000766,f,26-35,7
1000767,m,26-35,12
1000769,m,46-50,17
1000770,m,18-25,4
1000771,f,51-55,1
1000772,m,18-25,12
1000773,m,26-35,6
1000774,m,18-25,4
1000775,m,0-17,17
1000776,f,26-35,3
1000777,m,18-25,19
1000778,m,18-25,17
1000779,m,26-35,0
1000780,m,26-35,17
1000783,m,26-35,4
1000785,m,18-25,19
1000786,m,26-35,0
1000787,m,18-25,4
1000788,m,26-35,0
1000789,m,18-25,1
1000791,m,36-45,7
1000792,m,26-35,17
1000793,f,36-45,14
1000794,m,51-55,20
1000795,f,36-45,14
1000796,m,51-55,6
1000797,f,51-55,7
1000798,f,26-35,20
1000799,f,26-35,5
1000801,f,26-35,20
1000802,m,26-35,16
1000803,m,18-25,4
1000804,m,26-35,20
1000805,m,36-45,12
1000806,m,36-45,0
1000807,m,18-25,4
1000808,m,26-35,7
1000809,m,26-35,17
1000810,m,26-35,12
1000811,m,51-55,0
1000812,m,26-35,6
1000813,m,18-25,4
1000814,f,18-25,4
1000816,m,46-50,0
1000817,m,18-25,4
1000818,m,18-25,4
1000819,m,36-45,7
1000820,m,36-45,7
1000821,m,18-25,2
1000822,f,26-35,1
1000823,m,26-35,0
1000824,m,36-45,12
1000825,m,55+,1
1000826,f,36-45,1
1000827,m,46-50,2
1000828,m,18-25,4
1000829,m,0-17,19
1000830,m,36-45,7
1000832,m,18-25,2
1000833,m,36-45,7
1000834,f,36-45,12
1000835,m,55+,0
1000836,m,26-35,11
1000837,m,55+,7
1000838,m,51-55,17
1000839,m,26-35,0
1000840,f,26-35,3
1000842,f,18-25,0
1000843,m,26-35,7
1000844,m,26-35,0
1000845,f,18-25,0
1000846,m,26-35,5
1000847,f,26-35,7
1000848,m,26-35,15
1000849,m,26-35,3
1000850,m,36-45,0
1000851,m,18-25,4
1000852,m,26-35,5
1000853,m,26-35,17
1000854,f,26-35,16
1000855,f,18-25,2
1000856,f,46-50,6
1000857,m,36-45,17
1000858,m,36-45,14
1000859,m,26-35,12
1000860,m,18-25,0
1000861,m,26-35,7
1000862,m,36-45,7
1000863,m,26-35,7
1000864,f,26-35,0
1000867,m,46-50,12
1000868,m,51-55,17
1000869,m,18-25,20
1000870,f,26-35,1
1000871,m,0-17,10
1000872,m,51-55,1
1000873,m,55+,6
1000875,m,0-17,10
1000877,m,26-35,0
1000878,m,18-25,2
1000880,m,36-45,17
1000881,m,18-25,14
1000882,m,18-25,2
1000883,f,36-45,14
1000884,m,0-17,10
1000885,m,36-45,0
1000886,f,55+,0
1000887,f,55+,16
1000888,f,0-17,10
1000889,m,46-50,20
1000890,m,18-25,4
1000891,m,26-35,1
1000892,m,36-45,0
1000894,m,18-25,4
1000895,m,51-55,1
1000896,m,18-25,15
1000897,m,26-35,6
1000898,m,26-35,7
1000899,f,26-35,1
1000900,f,55+,13
1000901,f,55+,0
1000903,m,55+,13
1000904,m,36-45,20
1000905,f,46-50,12
1000906,m,0-17,10
1000908,f,51-55,1
1000909,m,46-50,7
1000910,f,51-55,0
1000911,m,51-55,0
1000912,f,36-45,2
1000913,m,26-35,0
1000914,f,36-45,9
1000915,m,26-35,7
1000917,m,51-55,6
1000918,f,46-50,1
1000919,f,36-45,1
1000920,m,18-25,4
1000921,m,26-35,17
1000922,m,55+,16
1000923,m,26-35,7
1000924,m,51-55,17
1000925,f,36-45,3
1000926,m,0-17,10
1000927,f,26-35,20
1000928,f,55+,16
1000929,m,26-35,15
1000930,m,26-35,5
1000931,f,55+,1
1000932,f,36-45,6
1000933,m,46-50,1
1000934,f,36-45,7
1000936,m,18-25,4
1000937,m,26-35,15
1000939,f,26-35,20
1000940,m,0-17,10
1000943,f,46-50,12
1000944,m,36-45,0
1000945,m,46-50,7
1000949,m,51-55,17
1000950,m,36-45,7
1000951,m,46-50,2
1000952,m,55+,16
1000953,m,51-55,20
1000954,f,26-35,0
1000955,f,51-55,7
1000956,m,36-45,1
1000957,m,36-45,1
1000958,m,36-45,2
1000959,m,51-55,11
1000960,m,0-17,10
1000961,m,18-25,10
1000963,m,26-35,0
1000964,m,26-35,7
1000966,m,55+,2
1000967,f,18-25,0
1000968,m,51-55,12
1000969,f,26-35,11
1000970,m,26-35,0
1000971,m,26-35,12
1000972,m,46-50,1
1000973,f,26-35,1
1000974,m,36-45,19
1000975,m,36-45,0
1000976,m,36-45,14
1000977,m,26-35,2
1000978,m,18-25,0
1000979,m,0-17,10
1000980,m,26-35,6
1000981,m,26-35,20
1000982,f,26-35,9
1000983,f,26-35,16
1000984,m,51-55,16
1000985,m,26-35,4
1000986,f,55+,0
1000987,f,36-45,17
1000988,m,51-55,11
1000989,m,51-55,0
1000990,m,18-25,6
1000991,f,26-35,9
1000992,f,36-45,3
1000993,m,26-35,0
1000995,f,18-25,4
1000996,m,26-35,17
1000997,m,0-17,19
1000998,m,46-50,20
1000999,m,26-35,15
1001000,f,26-35,6
1001002,m,51-55,11
1001003,m,26-35,2
1001004,m,26-35,3
1001005,m,36-45,11
1001006,m,18-25,4
1001008,m,36-45,3
1001009,m,51-55,7
1001010,m,26-35,0
1001011,m,26-35,8
1001012,f,36-45,1
1001013,m,55+,13
1001015,m,36-45,3
1001016,m,55+,16
1001017,m,36-45,0
1001018,m,18-25,4
1001019,m,36-45,1
1001021,m,36-45,0
1001022,m,26-35,3
1001023,m,55+,13
1001024,f,36-45,1
1001025,m,26-35,16
1001026,f,46-50,0
1001027,m,18-25,4
1001028,f,46-50,7
1001029,m,26-35,0
1001030,m,26-35,7
1001031,m,36-45,16
1001032,m,51-55,16
1001033,m,26-35,5
1001035,m,18-25,2
1001036,m,36-45,7
1001037,m,46-50,7
1001038,f,55+,15
1001039,f,36-45,1
1001040,m,26-35,11
1001041,m,46-50,2
1001042,m,36-45,5
1001043,f,51-55,11
1001044,m,26-35,20
1001045,f,0-17,10
1001047,m,18-25,0
1001048,m,36-45,6
1001049,m,46-50,14
1001050,m,26-35,1
1001051,f,26-35,0
1001052,f,36-45,2
1001053,m,36-45,0
1001054,m,0-17,10
1001055,m,36-45,0
1001056,m,0-17,0
1001057,m,46-50,17
1001058,m,26-35,1
1001059,f,26-35,0
1001060,m,18-25,10
1001061,m,46-50,0
1001062,m,51-55,19
1001063,m,36-45,7
1001064,m,26-35,7
1001065,f,26-35,0
1001066,m,46-50,12
1001067,m,36-45,12
1001068,f,18-25,4
1001069,m,26-35,20
1001071,m,51-55,16
1001072,f,36-45,7
1001073,f,26-35,6
1001074,m,46-50,17
1001075,f,26-35,6
1001076,f,26-35,3
1001077,m,26-35,3
1001078,f,46-50,9
1001079,m,26-35,7
1001081,m,18-25,4
1001083,m,55+,0
1001084,m,0-17,19
1001086,m,18-25,4
1001087,m,26-35,16
1001088,f,0-17,10
1001089,m,36-45,6
1001090,m,26-35,7
1001091,m,18-25,5
1001092,f,18-25,4
1001093,m,51-55,14
1001094,f,18-25,0
1001096,m,0-17,10
1001097,m,18-25,17
1001098,m,36-45,7
1001099,m,26-35,17
1001100,m,26-35,0
1001101,m,36-45,1
1001102,m,18-25,1
1001103,f,46-50,7
1001104,m,36-45,11
1001106,m,18-25,4
1001107,f,51-55,1
1001108,m,55+,1
1001109,m,18-25,10
1001110,f,55+,6
1001111,f,51-55,16
1001112,m,18-25,6
1001113,m,18-25,4
1001114,f,18-25,9
1001116,m,26-35,15
1001117,m,18-25,14
1001118,m,51-55,13
1001119,m,36-45,1
1001120,m,18-25,4
1001121,m,55+,7
1001122,m,55+,14
1001124,m,26-35,2
1001125,f,18-25,4
1001126,m,55+,16
1001127,m,26-35,0
1001128,m,26-35,1
1001129,m,36-45,17
1001130,m,18-25,7
1001131,m,55+,13
1001132,m,18-25,12
1001133,m,18-25,2
1001134,m,18-25,20
1001135,m,51-55,13
1001136,f,36-45,7
1001137,m,18-25,4
1001138,m,18-25,12
1001139,m,26-35,1
1001140,f,46-50,2
1001141,f,26-35,3
1001142,m,18-25,1
1001143,m,51-55,7
1001145,m,51-55,3
1001146,f,18-25,16
1001147,m,26-35,20
1001148,m,36-45,17
1001149,m,26-35,12
1001150,f,26-35,20
1001151,m,26-35,15
1001152,m,18-25,4
1001153,m,18-25,10
1001155,m,26-35,12
1001156,f,51-55,2
1001158,f,36-45,1
1001159,m,18-25,0
1001160,m,18-25,14
1001161,m,26-35,0
1001162,f,36-45,0
1001163,m,0-17,10
1001164,f,26-35,19
1001165,m,26-35,12
1001166,m,55+,6
1001168,f,26-35,0
1001169,m,26-35,20
1001170,m,55+,3
1001172,f,26-35,0
1001173,f,26-35,7
1001174,f,18-25,16
1001175,f,26-35,2
1001176,m,55+,1
1001177,f,26-35,17
1001178,m,55+,0
1001179,m,51-55,1
1001180,f,51-55,20
1001181,m,36-45,7
1001182,m,0-17,10
1001183,m,36-45,19
1001184,f,26-35,4
1001185,f,36-45,1
1001186,m,18-25,19
1001187,f,0-17,0
1001188,m,46-50,7
1001189,m,26-35,0
1001190,m,46-50,0
1001191,f,36-45,0
1001193,m,26-35,12
1001194,f,26-35,1
1001195,f,0-17,10
1001196,f,18-25,14
1001198,m,0-17,10
1001199,m,51-55,13
1001201,m,18-25,4
1001202,m,36-45,12
1001203,f,26-35,1
1001204,m,26-35,7
1001205,f,55+,0
1001206,f,51-55,7
1001208,m,26-35,0
1001209,m,36-45,7
1001210,m,26-35,17
1001211,m,18-25,4
1001212,f,51-55,1
1001214,m,55+,13
1001215,m,36-45,17
1001216,m,26-35,2
1001217,m,26-35,12
1001218,m,55+,15
1001219,m,26-35,7
1001220,m,0-17,10
1001221,m,18-25,0
1001222,m,36-45,0
1001223,m,26-35,2
1001224,m,51-55,13
1001225,m,46-50,7
1001226,m,18-25,20
1001227,m,51-55,1
1001228,m,26-35,1
1001230,m,26-35,11
1001231,m,26-35,12
1001232,f,18-25,4
1001233,f,46-50,20
1001234,m,18-25,4
1001235,f,26-35,7
1001236,f,26-35,1
1001237,m,18-25,4
1001238,f,36-45,20
1001239,f,26-35,20
1001241,m,0-17,10
1001242,f,36-45,0
1001243,m,36-45,15
1001244,m,26-35,4
1001246,m,18-25,4
1001247,m,36-45,0
1001248,f,36-45,20
1001249,m,36-45,2
1001250,m,51-55,0
1001251,m,26-35,7
1001252,m,55+,13
1001253,f,36-45,20
1001254,f,18-25,1
1001255,m,26-35,17
1001256,m,26-35,20
1001257,f,18-25,14
1001258,m,46-50,7
1001259,m,36-45,7
1001260,m,26-35,17
1001261,m,18-25,4
1001262,m,26-35,4
1001263,m,0-17,10
1001264,m,26-35,1
1001265,f,18-25,20
1001266,m,26-35,4
1001267,m,26-35,15
1001268,m,51-55,2
1001269,f,55+,13
1001270,m,26-35,6
1001271,f,46-50,6
1001272,m,18-25,20
1001273,m,36-45,2
1001274,m,46-50,7
1001275,m,51-55,17
1001276,m,36-45,17
1001277,f,18-25,0
1001278,m,18-25,4
1001279,m,36-45,1
1001280,m,0-17,10
1001281,m,26-35,19
1001283,f,18-25,1
1001284,m,46-50,16
1001285,m,36-45,4
1001286,m,36-45,17
1001287,f,51-55,7
1001288,f,36-45,19
1001289,m,46-50,6
1001291,f,36-45,0
1001292,m,26-35,7
1001293,m,26-35,5
1001294,f,51-55,20
1001295,f,36-45,6
1001296,m,0-17,0
1001297,m,26-35,7
1001298,m,36-45,6
1001299,m,26-35,14
1001300,m,0-17,10
1001301,f,26-35,2
1001302,m,18-25,4
1001303,m,26-35,19
1001304,m,26-35,14
1001305,m,46-50,20
1001306,m,26-35,3
1001307,m,55+,13
1001311,m,18-25,10
1001312,m,26-35,14
1001313,m,18-25,4
